scorer,kmt2ns,kmt2ns,kmt2ns,kmt2ns,kmt2ns,kmt2ns,kmt2ns,kmt2ns
bodyparts,top,top,left,left,right,right,bottom,bottom
coords,x,y,x,y,x,y,x,y
labeled-data/75/img0000.png,638.1883116883116,208.72077922077915,587.538961038961,210.66883116883116,696.62987012987,206.77272727272725,638.1883116883116,218.46103896103898
labeled-data/75/img0045.png,638.1883116883116,198.98051948051943,548.577922077922,206.77272727272725,741.435064935065,191.18831168831161,638.1883116883116,237.9415584415584
labeled-data/75/img0091.png,649.8766233766233,220.40909090909088,564.1623376623376,222.35714285714278,743.3831168831169,212.61688311688306,649.8766233766233,259.37012987012986
labeled-data/75/img0126.png,657.6688311688312,226.25324675324669,575.8506493506493,230.1493506493506,751.1753246753248,220.40909090909088,657.6688311688312,263.26623376623377
labeled-data/75/img0140.png,669.3571428571428,234.0454545454545,603.1233766233765,234.0454545454545,753.1233766233767,230.1493506493506,669.3571428571428,257.42207792207785
labeled-data/75/img0175.png,669.3571428571428,232.0974025974026,595.3311688311687,235.99350649350652,776.5000000000001,235.99350649350652,663.512987012987,288.5909090909091
labeled-data/75/img0208.png,657.6688311688312,232.0974025974026,610.9155844155844,228.2012987012987,714.1623376623376,226.25324675324669,661.5649350649351,241.83766233766232
labeled-data/75/img0233.png,651.8246753246752,230.1493506493506,585.590909090909,224.3051948051948,725.8506493506494,226.25324675324669,649.8766233766233,255.47402597402595
labeled-data/75/img0275.png,657.6688311688312,222.35714285714278,614.8116883116883,218.46103896103898,698.5779220779222,218.46103896103898,651.8246753246752,234.0454545454545
labeled-data/75/img0279.png,657.6688311688312,224.3051948051948,593.3831168831168,226.25324675324669,727.7987012987013,228.2012987012987,653.7727272727273,259.37012987012986
labeled-data/75/img0304.png,677.1493506493506,234.0454545454545,618.7077922077922,234.0454545454545,727.7987012987013,235.99350649350652,677.1493506493506,241.83766233766232
labeled-data/75/img0321.png,684.9415584415584,210.66883116883116,607.0194805194805,214.56493506493507,782.3441558441558,214.56493506493507,681.0454545454545,245.73376623376623
labeled-data/75/img0338.png,700.525974025974,218.46103896103898,630.3961038961038,218.46103896103898,770.6558441558442,220.40909090909088,696.62987012987,241.83766233766232
labeled-data/75/img0360.png,696.62987012987,204.82467532467524,638.1883116883116,202.87662337662334,751.1753246753248,206.77272727272725,694.6818181818181,222.35714285714278
labeled-data/75/img0400.png,682.9935064935065,212.61688311688306,630.3961038961038,216.51298701298697,743.3831168831169,218.46103896103898,675.2012987012987,230.1493506493506
labeled-data/75/img0434.png,677.1493506493506,218.46103896103898,593.3831168831168,214.56493506493507,776.5000000000001,218.46103896103898,669.3571428571428,265.21428571428567
labeled-data/75/img0482.png,681.0454545454545,222.35714285714278,622.6038961038961,228.2012987012987,755.0714285714286,232.0974025974026,665.461038961039,249.62987012987014
labeled-data/75/img0502.png,690.7857142857142,247.68181818181813,622.6038961038961,243.78571428571422,762.8636363636364,249.62987012987014,684.9415584415584,276.9025974025974
labeled-data/75/img0618.png,665.461038961039,241.83766233766232,614.8116883116883,230.1493506493506,720.0064935064935,237.9415584415584,665.461038961039,241.83766233766232
labeled-data/75/img0635.png,684.9415584415584,222.35714285714278,622.6038961038961,226.25324675324669,751.1753246753248,232.0974025974026,684.9415584415584,243.78571428571422
