scorer,kmt2ns,kmt2ns,kmt2ns,kmt2ns,kmt2ns,kmt2ns,kmt2ns,kmt2ns
bodyparts,top,top,left,left,right,right,bottom,bottom
coords,x,y,x,y,x,y,x,y
labeled-data/85/img0005.png,681.0454545454545,224.3051948051948,603.1233766233765,230.1493506493506,749.2272727272726,228.2012987012987,675.2012987012987,235.99350649350652
labeled-data/85/img0072.png,681.0454545454545,202.87662337662334,630.3961038961038,220.40909090909088,745.3311688311688,214.56493506493507,682.9935064935065,230.1493506493506
labeled-data/85/img0147.png,681.0454545454545,187.2922077922077,577.7987012987012,206.77272727272725,801.8246753246752,197.03246753246754,688.8376623376623,239.8896103896103
labeled-data/85/img0173.png,696.62987012987,189.24025974025972,587.538961038961,226.25324675324669,809.6168831168831,214.56493506493507,692.7337662337662,273.0064935064935
labeled-data/85/img0222.png,710.2662337662338,183.3961038961039,597.2792207792207,216.51298701298697,825.2012987012987,208.72077922077915,704.4220779220778,261.31818181818176
labeled-data/85/img0297.png,718.0584415584416,183.3961038961039,610.9155844155844,204.82467532467524,829.0974025974027,198.98051948051943,718.0584415584416,245.73376623376623
labeled-data/85/img0341.png,720.0064935064935,160.01948051948045,610.9155844155844,183.3961038961039,825.2012987012987,169.75974025974017,716.1103896103897,183.3961038961039
labeled-data/85/img0395.png,712.2142857142857,200.92857142857144,608.9675324675325,208.72077922077915,801.8246753246752,204.82467532467524,708.3181818181819,222.35714285714278
labeled-data/85/img0529.png,710.2662337662338,171.70779220779218,610.9155844155844,214.56493506493507,825.2012987012987,198.98051948051943,710.2662337662338,234.0454545454545
labeled-data/85/img0598.png,727.7987012987013,171.70779220779218,642.0844155844155,208.72077922077915,825.2012987012987,214.56493506493507,723.9025974025975,230.1493506493506
labeled-data/85/img0606.png,718.0584415584416,191.18831168831161,665.461038961039,202.87662337662334,770.6558441558442,195.08441558441552,720.0064935064935,204.82467532467524
labeled-data/85/img0681.png,727.7987012987013,195.08441558441552,620.6558441558441,234.0454545454545,840.7857142857143,218.46103896103898,731.6948051948051,257.42207792207785
labeled-data/85/img0695.png,725.8506493506494,181.4480519480519,620.6558441558441,222.35714285714278,840.7857142857143,214.56493506493507,727.7987012987013,253.52597402597405
labeled-data/85/img0860.png,727.7987012987013,189.24025974025972,618.7077922077922,226.25324675324669,840.7857142857143,210.66883116883116,735.5909090909091,247.68181818181813
labeled-data/85/img0880.png,737.538961038961,204.82467532467524,630.3961038961038,239.8896103896103,846.6298701298703,230.1493506493506,743.3831168831169,257.42207792207785
labeled-data/85/img0906.png,755.0714285714286,193.13636363636363,638.1883116883116,230.1493506493506,856.37012987013,216.51298701298697,743.3831168831169,276.9025974025974
labeled-data/85/img0968.png,764.8116883116883,179.5,700.525974025974,220.40909090909088,844.6818181818181,222.35714285714278,758.9675324675326,267.1623376623377
labeled-data/85/img1075.png,749.2272727272726,183.3961038961039,665.461038961039,220.40909090909088,848.5779220779222,214.56493506493507,747.2792207792207,237.9415584415584
labeled-data/85/img1148.png,753.1233766233767,152.22727272727263,665.461038961039,175.6038961038961,854.4220779220781,175.6038961038961,757.0194805194805,212.61688311688306
labeled-data/85/img1155.png,766.7597402597402,148.33116883116884,642.0844155844155,167.81168831168827,864.1623376623378,165.86363636363637,762.8636363636364,195.08441558441552
